"CandidateName","Party","ElectionYear","Jurisdiction","Office","District","CampaignStatus","CandidateStatus","CandidateID"
"BRUNNER, THOMAS","Republican","2022","STATEWIDE","Secretary of State","","Inactive","Terminated","20225042444"
"BRUNSON, KORY","Republican","2020","STATEWIDE","Colorado House","House District 63","Inactive","Terminated","20195036338"
"BRUSH, KIRKLAND","Republican","2002","STATEWIDE","Colorado House","House District 53","Inactive","Terminated","20005001355"
"BRYAN, EDIE","Unaffiliated","1996","STATEWIDE","RTD DIRECTOR","RTD District D","Inactive","Terminated","20005000593"
"BRYAN, EDIE","Unaffiliated","2000","STATEWIDE","RTD DIRECTOR","RTD District D","Inactive","Terminated","20005000813"
"BRYAN, EDIE","Unaffiliated","2000","STATEWIDE","RTD DIRECTOR","RTD District D","Inactive","Terminated","20005001179"
"BRYANT, DAVID","Unaffiliated","1998","STATEWIDE","State Treasurer","","Inactive","Terminated","20005000846"
"BRYANT, DONALD","Republican","2018","STATEWIDE","Colorado House","House District 19","Inactive","Terminated","20175032803"
"BRYANT, MATTHEW","Democratic","2006","STATEWIDE","Colorado House","House District 40","Inactive","Terminated","20065629417"
"BUBIS, JAXINE","Republican","2013","STATEWIDE","Colorado Senate","Senate District 11","Inactive","Terminated","20135025510"
"BUCHANAN, ROSS","Non-Partisan","2016","STATEWIDE","DISTRICT COURT JUDGE","DISTRICT 02","Inactive","Terminated","20165031518"
"BUCK, GEORGE","Republican","1996","STATEWIDE","District Attorney","District 22","Inactive","Terminated","20005000578"
"BUCK, KENNETH","Republican","2004","STATEWIDE","District Attorney","District 19","Inactive","Terminated","20085610132"
"BUCK, KENNETH","Republican","2008","STATEWIDE","District Attorney","District 19","Inactive","Terminated","20085610132"
"BUCK, KENNETH","Republican","2012","STATEWIDE","District Attorney","District 19","Inactive","Terminated","20085610132"
"BUCK, PERRY","Republican","2012","STATEWIDE","Colorado House","House District 49","Inactive","Terminated","20125023120"
"BUCK, PERRY","Republican","2014","STATEWIDE","Colorado House","House District 49","Inactive","Terminated","20135025602"
"BUCK, PERRY","Republican","2016","STATEWIDE","Colorado House","House District 49","Inactive","Terminated","20135025602"
"BUCK, PERRY","Republican","2018","STATEWIDE","Colorado House","House District 49","Inactive","Terminated","20135025602"
"BUCKLEY, DAVID","Republican","2022","STATEWIDE","Colorado House","House District 13","Active","Active","20225042270"
"BUCKLEY, V","Republican","1994","STATEWIDE","Secretary of State","","Inactive","Terminated","20005000099"
"BUCKLEY, VIKKI","Republican","1998","STATEWIDE","Secretary of State","","Inactive","Terminated","20005000624"
"BUCKNER, JANET","Democratic","2016","STATEWIDE","Colorado House","House District 40","Inactive","Terminated","20155029142"
"BUCKNER, JANET","Democratic","2018","STATEWIDE","Colorado House","House District 40","Inactive","Terminated","20155029142"
"BUCKNER, JANET","Democratic","2020","STATEWIDE","Colorado Senate","Senate District 28","Inactive","Terminated","20195037862"
"BUCKNER, JOHN","Democratic","2012","STATEWIDE","Colorado House","House District 40","Inactive","Terminated","20125024002"
"BUCKNER, JOHN","Democratic","2014","STATEWIDE","Colorado House","House District 40","Inactive","Terminated","20125024002"
"BUENTELLO, BRIANNA","Democratic","2018","STATEWIDE","Colorado House","House District 47","Inactive","Terminated","20175032093"
"BUENTELLO, BRIANNA","Democratic","2020","STATEWIDE","Colorado House","House District 47","Inactive","Terminated","20175032093"
"BUERGER, COLE","Democratic","2022","STATEWIDE","Colorado House","House District 57","Active","Active","20215041855"
"BUESCHER, BERNARD","Democratic","1998","STATEWIDE","Lt. Governor","","Inactive","Terminated","20005000623"
"BUESCHER, BERNIE","Democratic","2004","STATEWIDE","Colorado House","House District 55","Inactive","Terminated","20085603899"
"BUESCHER, BERNIE","Democratic","2006","STATEWIDE","Colorado House","House District 55","Inactive","Terminated","20085603899"
"BUESCHER, BERNIE","Democratic","2008","STATEWIDE","Colorado House","House District 55","Inactive","Terminated","20085603899"
"BUESCHER, BERNIE","Democratic","2010","STATEWIDE","Secretary of State","","Inactive","Terminated","20095601828"
"BULLOCK, JAMES","Republican","2012","STATEWIDE","District Attorney","District 16","Inactive","Terminated","20125023378"
"BULLOCK, JAMES","Republican","2016","STATEWIDE","District Attorney","District 16","Inactive","Terminated","20125023378"
"BURCHELL, ALISON","Democratic","2000","STATEWIDE","Colorado House","HOUSE DISTRICT 14","Inactive","Terminated","20005001228"
"BURCK, ZACHARIAH","Republican","2022","STATEWIDE","Governor","","Inactive","Terminated","20225042020"
"BURDICK, DONNA","American Constitution","2012","STATEWIDE","Colorado House","House District 20","Inactive","Terminated","20125024336"
"BURKE, TOM","Republican","1998","STATEWIDE","Colorado Senate","Senate District 07","Inactive","Terminated","20005000646"
"BURKHART, CAROL","Democratic","1998","STATEWIDE","Colorado House","House District 48","Inactive","Terminated","20005000943"
"BURLEY, MARGARET (PENNY)","Democratic","2004","STATEWIDE","Colorado House","House District 45","Inactive","Terminated","20045644316"
"BURNS, LATICIA","Libertarian","2012","STATEWIDE","Colorado House","House District 21","Inactive","Terminated","20125024121"
"BURTON, JERRY","Unity Party","2020","STATEWIDE","Colorado Senate","Senate District 33","Inactive","Terminated","20205038992"
"BUSBY, DAVID","Democratic","1998","STATEWIDE","Colorado House","House District 32","Inactive","Terminated","20005000921"
"BUSCH, KATHY","Unaffiliated","1996","STATEWIDE","Colorado Senate","Senate District 23","Inactive","Terminated","20005000394"
"BUSCK, NOEL","Unaffiliated","2006","STATEWIDE","RTD DIRECTOR","RTD District K","Inactive","Terminated","20065601481"
"BUSCK, NOEL","Unaffiliated","2010","STATEWIDE","RTD DIRECTOR","RTD District K","Inactive","Terminated","20065601481"
"BUSEY, PAULA","Democratic","2000","STATEWIDE","Colorado House","House District 37","Inactive","Terminated","20005001244"
"BUSH, MELVIN","Non-Partisan","2010","STATEWIDE","RTD DIRECTOR","RTD District B","Inactive","Terminated","20105018026"
"BUSSE, LU ANN","Republican","2012","STATEWIDE","Colorado House","House District 39","Inactive","Terminated","20125023176"
"BUTCHER, DOROTHY","Democratic","2002","STATEWIDE","Colorado House","House District 46","Inactive","Terminated","20065600077"
"BUTCHER, DOROTHY","Democratic","2004","STATEWIDE","Colorado House","House District 46","Inactive","Terminated","20065600077"
"BUTCHER, DOROTHY","Democratic","2006","STATEWIDE","Colorado House","House District 46","Inactive","Terminated","20065600077"
"BUTLER, PATRICK","Non-Partisan","2014","STATEWIDE","DISTRICT COURT JUDGE","DISTRICT 20","Inactive","Terminated","20145028162"
"BUTLER, PATRICK","Non-Partisan","2020","STATEWIDE","DISTRICT COURT JUDGE","DISTRICT 20","Inactive","Terminated","20145028162"
"BUTT, GORDON","Libertarian","2013","STATEWIDE","Colorado Senate","Senate District 11","Inactive","Terminated","20135025668"
"BUXMAN, RON","Republican","1998","STATEWIDE","Colorado House","House District 48","Inactive","Terminated","20005000751"
"BUZEK, VINCENT","Democratic","2002","STATEWIDE","Colorado House","House District 33","Inactive","Terminated","20005001530"
"BUZEK, VINCENT","Non-Partisan","2018","STATEWIDE","RTD DIRECTOR","RTD District J","Inactive","Active","20185033700"
"BUZEK, VINCENT","Non-Partisan","2022","STATEWIDE","RTD DIRECTOR","RTD District J","Active","Active","20185033700"
"BYRD, REGAN","Non-Partisan","2016","STATEWIDE","RTD DIRECTOR","RTD District A","Inactive","Terminated","20165031304"
"BYRD, REGAN","Non-Partisan","2016","STATEWIDE","RTD DIRECTOR","RTD District D","Inactive","Terminated","20155029811"
"BYRD, REGAN","Non-Partisan","2020","STATEWIDE","RTD DIRECTOR","RTD District H","Inactive","Terminated","20185033856"
"CABRERA, BRYAN","Democratic","2000","STATEWIDE","Colorado House","House District 42","Inactive","Terminated","20005001126"
"CACIOPPO, MICHAEL","Republican","2016","STATEWIDE","Colorado House","House District 26","Inactive","Terminated","20165030369"
"CADMAN, BILL","Republican","2002","STATEWIDE","Colorado House","House District 15","Inactive","Terminated","20065626340"
"CADMAN, BILL","Republican","2004","STATEWIDE","Colorado House","House District 15","Inactive","Terminated","20065626340"
"CADMAN, BILL","Republican","2006","STATEWIDE","Colorado House","House District 15","Inactive","Terminated","20065626340"
"CADMAN, BILL","Republican","2008","STATEWIDE","Colorado Senate","Senate District 10","Inactive","Terminated","20075625936"
"CADMAN, BILL","Republican","2012","STATEWIDE","Colorado Senate","Senate District 12","Inactive","Terminated","20115023031"
"CAGE, PEGGY","Republican","2020","STATEWIDE","Colorado Senate","Senate District 18","Inactive","Terminated","20205038944"
"CAGIN, SETH","Democratic","2018","STATEWIDE","Colorado House","House District 58","Inactive","Terminated","20175033288"
"CAGIN, SETH","Democratic","2020","STATEWIDE","Colorado House","House District 58","Inactive","Terminated","20175033288"
"CAIN, THOMAS","Republican","1996","STATEWIDE","Colorado House","House District 33","Inactive","Terminated","20005000479"
"CAIN, THOMAS","Republican","1998","STATEWIDE","Colorado House","House District 33","Inactive","Terminated","20005000713"
"CAIRNS, BRUCE","Republican","1996","STATEWIDE","Colorado Senate","Senate District 28","Inactive","Terminated","20005000401"
"CAIRNS, BRUCE","Republican","2000","STATEWIDE","Colorado Senate","Senate District 28","Inactive","Terminated","20005001212"
"CAIRNS, BRUCE","Republican","2004","STATEWIDE","Colorado Senate","Senate District 28","Inactive","Terminated","20005001212"
"CALDERONE, JENNIFER","Democratic","2018","STATEWIDE","Colorado Senate","Senate District 34","Inactive","Terminated","20175033263"
"CALDWELL, HAROLD","Republican","1996","STATEWIDE","Colorado House","House District 61","Inactive","Terminated","20005000539"
"CALDWELL, JOHN","Republican","2022","STATEWIDE","Colorado House","House District 49","Inactive","Terminated","20225041910"
"CALEF, KANDA","Republican","2018","STATEWIDE","Colorado House","HOUSE DISTRICT 14","Inactive","Terminated","20185034113"
"CALI, CAL","Democratic","2008","STATEWIDE","Colorado House","House District 60","Inactive","Terminated","20085614182"
"CALL, JERRY","Republican","2008","STATEWIDE","Colorado Senate","Senate District 26","Inactive","Terminated","20085602670"
"CALOIA, SHERRY","Democratic","2012","STATEWIDE","District Attorney","District 09","Inactive","Terminated","20125024716"
"CALOIA, SHERRY","Democratic","2016","STATEWIDE","District Attorney","District 09","Inactive","Terminated","20125024716"
"CALONDER, MARK","Republican","2018","STATEWIDE","Colorado Senate","Senate District 32","Inactive","Terminated","20185035256"
"CAMACHO, SEAN","Democratic","2020","STATEWIDE","Colorado House","House District 06","Inactive","Active","20195037841"
"CAMACHO, SEAN","Democratic","2022","STATEWIDE","Colorado House","House District 06","Active","Active","20195037841"
"CAMARILLO, TIM","Non-Partisan","2014","STATEWIDE","RTD DIRECTOR","RTD District B","Inactive","Terminated","20145028244"
"CAMP, JOSEPH","Unaffiliated","2016","STATEWIDE","Colorado House","House District 01","Inactive","Terminated","20165030095"
"CAMPBELL, AMANDA","American Constitution","2008","STATEWIDE","Colorado House","House District 27","Inactive","Terminated","20085621479"
"CAMPBELL, AMANDA","American Constitution","2010","STATEWIDE","Secretary of State","","Inactive","Active","20105018250"
"CAMPBELL, AMANDA","American Constitution","2014","STATEWIDE","Secretary of State","","Inactive","Active","20105018250"
"CAMPBELL, AMANDA","American Constitution","2016","STATEWIDE","Colorado House","House District 27","Inactive","Terminated","20085621479"
"CAMPBELL, AMANDA","American Constitution","2018","STATEWIDE","Secretary of State","","Inactive","Active","20105018250"
"CAMPBELL, AMANDA","American Constitution","2022","STATEWIDE","Secretary of State","","Active","Active","20105018250"
"CAMPBELL, DOUG","Unaffiliated","1994","STATEWIDE","Secretary of State","","Inactive","Terminated","20005000100"
"CAMPBELL, DOUGLAS "DAYHORSE"","American Constitution","2006","STATEWIDE","CU Regent","CU REGENT AT LARGE","Inactive","Terminated","20065645614"
"CAMPBELL-SWANSON, JESSICA","Democratic","2018","STATEWIDE","Colorado House","House District 37","Inactive","Terminated","20185035137"
"CANALES, GENEVIEVE","Non-Partisan","2019","STATEWIDE","AIMS JUNIOR COLLEGE BOARD OF TRUSTEES","DISTRICT E","Inactive","Terminated","20195036888"
"CANTERBURY, TALON","Republican","2010","STATEWIDE","Colorado Senate","Senate District 02","Inactive","Terminated","20105017073"
"CANTRELL, GEORGE","American Constitution","2018","STATEWIDE","Governor","","Inactive","Terminated","20175031910"
"CAPPS, ERIC","Unaffiliated","2019","STATEWIDE","Colorado House","House District 03","Inactive","Terminated","20195036489"
"CAPUTO, ANTHONY","Republican","2020","STATEWIDE","Colorado House","House District 32","Inactive","Terminated","20205038202"
"CARAVEO, YADIRA","Democratic","2018","STATEWIDE","Colorado House","House District 31","Inactive","Terminated","20175033194"
"CARAVEO, YADIRA","Democratic","2020","STATEWIDE","Colorado House","House District 31","Inactive","Terminated","20175033194"
"CAREY, BRUCE","Republican","2016","STATEWIDE","District Attorney","District 05","Inactive","Terminated","20165031259"
"CARINS, BRUCE","Republican","2000","STATEWIDE","Colorado Senate","Senate District 28","Inactive","Terminated","20005000667"
"CARLINO, CHRISTINA","Republican","2022","STATEWIDE","Colorado House","House District 27","Active","Active","20225042160"
"CARLISLE, CINDY","Democratic","2008","STATEWIDE","Colorado Senate","Senate District 18","Inactive","Terminated","20075623224"
"CARLISLE, CYNTHIA","Democratic","2002","STATEWIDE","CU Regent","District 02","Inactive","Terminated","20005001508"
"CARLSON, ARTHUR","Republican","2010","STATEWIDE","Colorado House","House District 41","Inactive","Terminated","20095610913"
"CARLSON, ARTHUR","Republican","2012","STATEWIDE","Colorado House","House District 41","Inactive","Terminated","20095610913"
"CARLSON, ARTHUR","Republican","2012","STATEWIDE","Colorado House","House District 50","Inactive","Terminated","20125023244"
"CARLSON, ARTHUR","Republican","2012","STATEWIDE","Colorado Senate","Senate District 28","Inactive","Terminated","20115022950"
"CARLSON, ARTHUR","Republican","2014","STATEWIDE","Colorado Senate","Senate District 20","Inactive","Terminated","20145026702"
"CARLSON, ARTHUR","Republican","2018","STATEWIDE","Colorado House","House District 29","Inactive","Terminated","20175032252"
"CARLSON, GLENN","Democratic","2014","STATEWIDE","Colorado House","HOUSE DISTRICT 14","Inactive","Terminated","20145026634"
"CARLSON, MARGARET","Republican","1996","STATEWIDE","Colorado House","HOUSE DISTRICT 14","Inactive","Terminated","20005000445"
"CARLSON, MARGARET","Republican","1998","STATEWIDE","Colorado House","HOUSE DISTRICT 14","Inactive","Terminated","20005000690"
"CARLSON, SUZANNE","Non-Partisan","2014","STATEWIDE","DISTRICT COURT JUDGE","DISTRICT 06","Inactive","Terminated","20145028438"
"CARLSON, SUZANNE","Non-Partisan","2020","STATEWIDE","DISTRICT COURT JUDGE","DISTRICT 06","Inactive","Terminated","20145028438"
"CARLSTROM, DEBORAH","Republican","1998","STATEWIDE","Colorado House","House District 65","Inactive","Terminated","20005000787"
"CARMINATI, MARIA-VITTORIA","Democratic","2020","STATEWIDE","Colorado House","House District 56","Inactive","Terminated","20195037145"
"CARMINATI, MARIA-VITTORIA","Democratic","2020","STATEWIDE","Colorado Senate","Senate District 28","Inactive","Terminated","20195036199"
"CAROUTHERS, GEORGE","Republican","2008","STATEWIDE","Colorado House","House District 42","Inactive","Terminated","20085607367"
"CAROUTHERS, GEORGE","Unaffiliated","1994","STATEWIDE","Governor","","Inactive","Terminated","20005000083"
"CARR, MICHAEL","Republican","2012","STATEWIDE","Colorado Senate","Senate District 31","Inactive","Terminated","20125025039"
"CARR, PETER","Unaffiliated","2010","STATEWIDE","Governor","","Inactive","Terminated","20105017100"
"CARR, RUSSELL","Republican","2012","STATEWIDE","Colorado Senate","Senate District 25","Inactive","Terminated","20125023725"
"CARRIGAN, MICHAEL","Democratic","2004","STATEWIDE","CU Regent","District 01","Inactive","Terminated","20035621964"
"CARRIGAN, MICHAEL","Democratic","2010","STATEWIDE","CU Regent","District 01","Inactive","Terminated","20035621964"
"CARRIGAN, MICHAEL","Democratic","2016","STATEWIDE","District Attorney","District 02","Inactive","Terminated","20155028818"
"CARROLL, BRIAN","Democratic","2012","STATEWIDE","Colorado House","House District 28","Inactive","Terminated","20115022818"
"CARROLL, MORGAN","Democratic","2004","STATEWIDE","Colorado House","House District 36","Inactive","Terminated","20075618239"
"CARROLL, MORGAN","Democratic","2006","STATEWIDE","Colorado House","House District 36","Inactive","Terminated","20075618239"
"CARROLL, MORGAN","Democratic","2008","STATEWIDE","Colorado House","House District 36","Inactive","Terminated","20075618239"
"CARROLL, MORGAN","Democratic","2008","STATEWIDE","Colorado Senate","Senate District 29","Inactive","Terminated","20085605386"
"CARROLL, MORGAN","Democratic","2012","STATEWIDE","Colorado Senate","Senate District 29","Inactive","Terminated","20085605386"
"CARROLL, TERRANCE","Democratic","2004","STATEWIDE","Colorado House","House District 07","Inactive","Terminated","20085621595"
"CARROLL, TERRANCE","Democratic","2006","STATEWIDE","Colorado House","House District 07","Inactive","Terminated","20085621595"
"CARROLL, TERRANCE","Democratic","2008","STATEWIDE","Colorado House","House District 07","Inactive","Terminated","20085621595"
"CARSON, JOHN","Republican","2014","STATEWIDE","CU Regent","District 06","Inactive","Terminated","20145026753"
"CARTER, CHARLES","Democratic","2000","STATEWIDE","Colorado House","House District 30","Inactive","Terminated","20005001240"
"CARTER, CHARLES","Democratic","2002","STATEWIDE","Colorado House","House District 22","Inactive","Terminated","20005001522"
"CARTER, JOSEPH","Republican","2010","STATEWIDE","Colorado Senate","Senate District 31","Inactive","Terminated","20095606508"
"CARTER, RUSSELL","Republican","2022","STATEWIDE","Colorado House","House District 30","Active","Active","20225042366"
"CARVER, TERRI","Republican","2014","STATEWIDE","Colorado House","House District 20","Inactive","Terminated","20135025758"
"CARVER, TERRI","Republican","2016","STATEWIDE","Colorado House","House District 20","Inactive","Terminated","20135025758"
"CARVER, TERRI","Republican","2018","STATEWIDE","Colorado House","House District 20","Inactive","Terminated","20135025758"
"CARVER, TERRI","Republican","2020","STATEWIDE","Colorado House","House District 20","Inactive","Terminated","20135025758"
"CARWILE, TERRY","Unknown","2002","STATEWIDE","Colorado House","House District 57","Inactive","Terminated","20005001323"
"CASADOS, RONALD","Democratic","2022","STATEWIDE","CU Regent","District 05","Active","Active","20225043064"
"CASCIATO, CLAYTON","Libertarian","2022","STATEWIDE","Colorado House","House District 03","Active","Active","20225042462"
"CASEBOLT, JAMES","Unaffiliated","2012","STATEWIDE","COURT OF APPEALS JUDGE","","Inactive","Terminated","20125025004"
"CASEY, LLOYD","Democratic","1996","STATEWIDE","Colorado Senate","Senate District 23","Inactive","Terminated","20005000161"
"CASIANO, DAVID","Non-Partisan","2016","STATEWIDE","RTD DIRECTOR","RTD District G","Inactive","Terminated","20165031531"
"CASIANO, DAVID","Republican","2010","STATEWIDE","Colorado House","HOUSE DISTRICT 44","Inactive","Terminated","20105016944"
"CASIAS, JIM","Democratic","2016","STATEWIDE","Colorado Senate","Senate District 35","Inactive","Terminated","20155029137"
"CASKEY, ROBERT "BOB"","Republican","2006","STATEWIDE","Colorado House","House District 55","Inactive","Terminated","20055614182"
"CASSIDY, SAM","Democratic","1994","STATEWIDE","Colorado Senate","Senate District 06","Inactive","Terminated","20005000134"
"CASSO, DANIEL","Unknown","2006","STATEWIDE","RTD DIRECTOR","RTD District J","Inactive","Terminated","20065613841"
"CASSO, EDWARD","Democratic","2006","STATEWIDE","Colorado House","House District 32","Inactive","Terminated","20095608677"
"CASSO, EDWARD","Democratic","2008","STATEWIDE","Colorado House","House District 32","Inactive","Terminated","20095608677"
"CASSO, EDWARD","Democratic","2010","STATEWIDE","Colorado House","House District 32","Inactive","Terminated","20095608677"
"CASSO, EDWARD","Democratic","2016","STATEWIDE","Colorado Senate","Senate District 25","Inactive","Terminated","20145028145"
"CASTELLANO, CINDY","Democratic","1996","STATEWIDE","Colorado House","House District 38","Inactive","Terminated","20005000493"
"CASTLE, SEAN","Republican","1998","STATEWIDE","Colorado House","House District 64","Inactive","Terminated","20005000780"
"CATLIN, MARC","Republican","2018","STATEWIDE","Colorado House","House District 58","Inactive","Active","20175033267"
"CATLIN, MARC","Republican","2020","STATEWIDE","Colorado House","House District 58","Inactive","Active","20175033267"
"CATLIN, MARCUS","Republican","2022","STATEWIDE","Colorado House","House District 58","Active","Active","20175033267"
"CATLIN, MARGARET (PEGGY)","Non-Partisan","2018","STATEWIDE","RTD DIRECTOR","RTD District N","Inactive","Active","20185034197"
"CATLIN, PEGGY","Non-Partisan","2022","STATEWIDE","RTD DIRECTOR","RTD District N","Active","Active","20185034197"
"CERBO, MICHAEL","Democratic","2004","STATEWIDE","Colorado House","House District 02","Inactive","Terminated","20075612025"
"CERBO, MICHAEL","Democratic","2006","STATEWIDE","Colorado House","House District 02","Inactive","Terminated","20075612025"
"CERBO, MICHAEL","Non-Partisan","2016","STATEWIDE","RTD DIRECTOR","RTD District A","Inactive","Terminated","20165030290"
"CERBO, MIKE","Democratic","2008","STATEWIDE","Colorado House","House District 02","Inactive","Terminated","20075612025"
"CHACON, JUANITA","Unknown","2006","STATEWIDE","RTD DIRECTOR","RTD District C","Inactive","Terminated","20065615443"
"CHAFFEE, ROBERT","Democratic","2004","STATEWIDE","Colorado House","House District 21","Inactive","Terminated","20045638390"
"CHAMBERS, CAROL","Republican","2004","STATEWIDE","District Attorney","District 18","Inactive","Terminated","20085603083"
"CHAMBERS, CAROL","Republican","2008","STATEWIDE","District Attorney","District 18","Inactive","Terminated","20085603083"
"CHAMBERS, WILLIE","Unaffiliated","2010","STATEWIDE","Governor","","Inactive","Terminated","20105018466"
"CHAMPAGNE, CHRISTIAN","Democratic","2016","STATEWIDE","District Attorney","District 06","Inactive","Terminated","20155028992"
"CHAMPAGNE, CHRISTIAN","Democratic","2020","STATEWIDE","District Attorney","District 06","Inactive","Terminated","20155028992"
"CHAMPION, RICHARD","Republican","1998","STATEWIDE","Colorado House","House District 38","Inactive","Terminated","20005000725"
"CHAMPION, RICHARD","Republican","2020","STATEWIDE","Colorado House","House District 38","Inactive","Terminated","20205038041"
"CHAPMAN, IAN","Democratic","2020","STATEWIDE","Colorado House","House District 39","Active","Active","20205038886"
"CHAPMAN, JASON","Libertarian","2020","STATEWIDE","Colorado House","House District 32","Inactive","Terminated","20205038852"
"CHASE, AARON","Libertarian","2006","STATEWIDE","Colorado House","House District 28","Inactive","Terminated","20065643621"
"CHASE, NATALIE","Non-Partisan","2016","STATEWIDE","DISTRICT COURT JUDGE","DISTRICT 18","Active","Terminated","20165031392"
"CHASE, THEA","Unaffiliated","2018","STATEWIDE","Colorado House","House District 54","Inactive","Terminated","20185033859"
"CHASE, TINA","Democratic","2018","STATEWIDE","Colorado Senate","Senate District 16","Inactive","Terminated","20175032071"
"CHAVEZ, NOLBERT","Democratic","1994","STATEWIDE","Colorado House","House District 05","Inactive","Terminated","20005000190"
"CHAVEZ, NOLBERT","Democratic","1996","STATEWIDE","Colorado House","House District 05","Inactive","Terminated","20005000420"
"CHAVEZ, NOLBERT","Democratic","2000","STATEWIDE","Colorado House","House District 05","Inactive","Terminated","20005001053"
"CHAVEZ, NOLBERT","Democratic","2020","STATEWIDE","CU Regent","District 07","Inactive","Terminated","20195037793"
"CHENEY, JEFFERSON","Republican","2016","STATEWIDE","District Attorney","District 09","Inactive","Active","20165030252"
"CHENEY, JEFFERSON","Republican","2020","STATEWIDE","District Attorney","District 09","Active","Active","20165030252"
"CHEROUTES, CATHERINE","Non-Partisan","2022","STATEWIDE","DISTRICT COURT JUDGE","DISTRICT 05","Active","Active","20225043231"
"CHILSON, MOLLY","Republican","2004","STATEWIDE","District Attorney","District 11","Inactive","Terminated","20045638866"
"CHILSON, MOLLY","Republican","2016","STATEWIDE","District Attorney","District 11","Inactive","Terminated","20045638866"
"CHISESI, LAWRENCE (LARRY)","Democratic","2002","STATEWIDE","Colorado House","House District 53","Inactive","Terminated","20005001589"
"CHITTUM, ROBIN","Non-Partisan","2016","STATEWIDE","DISTRICT COURT JUDGE","DISTRICT 04","Inactive","Active","20165031532"
"CHITTUM, ROBIN","Non-Partisan","2022","STATEWIDE","DISTRICT COURT JUDGE","DISTRICT 04","Active","Active","20165031532"
"CHLOUBER, KEN","Republican","1994","STATEWIDE","Colorado House","House District 61","Inactive","Terminated","20005000319"
"CHLOUBER, KEN","Republican","1996","STATEWIDE","Colorado Senate","Senate District 04","Inactive","Terminated","20005000367"
"CHLOUBER, KEN","Republican","2000","STATEWIDE","Colorado Senate","Senate District 04","Inactive","Terminated","20005001003"
"CHLOUBER, KEN","Republican","2006","STATEWIDE","Colorado House","House District 56","Inactive","Terminated","20065611189"
"CHLOUBER, PAT","Republican","1998","STATEWIDE","State Board of Ed.","Bd. Ed. District 03","Inactive","Terminated","20005000355"
"CHLOUBER, PATRICIA","Non-Partisan","2015","STATEWIDE","COLORADO MOUNTAIN COLLEGE","BOARD OF TRUSTEE","Inactive","Terminated","20155029851"
"CHOLLET, LISA","Democratic","2022","STATEWIDE","Colorado House","House District 65","Active","Active","20225043004"
"CHOSTNER, JEFF","Democratic","2012","STATEWIDE","District Attorney","District 10","Inactive","Terminated","20115022198"
"CHOSTNER, JEFFREY","Democratic","2016","STATEWIDE","District Attorney","District 10","Inactive","Terminated","20115022198"
"CHOSTNER, JEFFREY","Democratic","2020","STATEWIDE","District Attorney","District 10","Inactive","Terminated","20115022198"
"CHOWDHURY, VINCE","Democratic","2008","STATEWIDE","Colorado House","House District 22","Inactive","Terminated","20085606171"
"CHOWDHURY, VINCE","Non-Partisan","2012","STATEWIDE","RTD DIRECTOR","RTD District E","Inactive","Terminated","20125024102"
"CHOWDHURY, VINCE","Republican","2004","STATEWIDE","Colorado House","House District 22","Inactive","Terminated","20045639662"
"CHRISTENSEN, PETER","Republican","2006","STATEWIDE","Colorado House","House District 22","Inactive","Terminated","20065625333"
"CHRISTOPHER, BILL","Unknown","2006","STATEWIDE","RTD DIRECTOR","RTD District J","Inactive","Terminated","20065628702"
"CHRISTOPHER, WILLIAM","Non-Partisan","2002","STATEWIDE","RTD DIRECTOR","RTD District J","Inactive","Terminated","20005001641"
"CHUNN, SEBASTIAN","Republican","2016","STATEWIDE","Colorado Senate","Senate District 29","Inactive","Terminated","20165030684"
"CIAZZA, BERNIE","Non-Partisan","2008","STATEWIDE","RTD DIRECTOR","RTD District E","Inactive","Terminated","20085607570"
"CIENFUEGOS-BACA, ERNEST","Democratic","2004","STATEWIDE","Colorado House","House District 49","Inactive","Terminated","20045625653"
"CIMINO, MARCUS","Democratic","2010","STATEWIDE","Colorado House","House District 15","Inactive","Terminated","20105018042"
"CIMINO, RICHARD","Republican","2022","STATEWIDE","Colorado Senate","Senate District 08","Inactive","Terminated","20225042057"
"CISNEROS, THERESA","Non-Partisan","2012","STATEWIDE","DISTRICT COURT JUDGE","DISTRICT 04","Inactive","Terminated","20125024982"
"CLAPP, LAURI","Republican","1998","STATEWIDE","Colorado House","House District 37","Inactive","Terminated","20005000928"
"CLAPP, LAURI","Republican","2000","STATEWIDE","Colorado House","House District 37","Inactive","Terminated","20045640174"
"CLAPP, LAURI","Republican","2002","STATEWIDE","Colorado House","House District 37","Inactive","Terminated","20045640174"
"CLAPP, LAURI","Republican","2004","STATEWIDE","Colorado House","House District 37","Inactive","Terminated","20045640174"
"CLAPP, LAURI","Republican","2008","STATEWIDE","Colorado Senate","Senate District 26","Inactive","Terminated","20085600752"
"CLARK, DREW","Republican","1994","STATEWIDE","Colorado House","House District 13","Inactive","Terminated","20005000208"
"CLARK, DREW","Republican","1996","STATEWIDE","Colorado Senate","Senate District 17","Inactive","Terminated","20005000380"
"CLARK, JASON","Republican","2014","STATEWIDE","Governor","","Inactive","Terminated","20145026700"
"CLARK, JASON","Unaffiliated","2010","STATEWIDE","Governor","","Inactive","Terminated","20105017075"
"CLARK, KEN","Democratic","2002","STATEWIDE","Colorado House","House District 65","Inactive","Terminated","20005001582"
"CLARK, LAURIE","Non-Partisan","2016","STATEWIDE","DISTRICT COURT JUDGE","DISTRICT 02","Inactive","Active","20165031411"
