"CommitteeName","CommitteeID","CommitteeType","DateRegistered","CommitteeStatus","JurisdictionDesc"
"SCHANTZ, ROBERT COMMITTEE TO ELECT","20011000185","Candidate Committee","09/11/2001","Terminated","STATEWIDE"
"CLASSROOM FOR KIDS","20011000186","Issue Committee","09/11/2001","Terminated","STATEWIDE"
"SMITH, JOHN V.  COMMITTEE TO ELECT","20011000192","Issue Committee","09/24/2001","Terminated","STATEWIDE"
"BOB GLASS FOR GOVERNOR","20011000197","Candidate Committee","09/27/2001","Terminated","STATEWIDE"
"BLACK REPUBLICAN POLITICAL ACTION COMMITTEE","20011000200","Political Committee","10/03/2001","Terminated","STATEWIDE"
"CITIZENS COMMITTEE FOR FIRE PROTECTION & SAFETY","20011000203","Issue Committee","10/08/2001","Terminated","STATEWIDE"
"COLORADANS FOR ALCOHOL CHOICE","20011000208","Issue Committee","10/12/2001","Terminated","STATEWIDE"
"ODONNELL, RICK COLORADANS FOR","20011000214","Candidate Committee","10/23/2001","Terminated","STATEWIDE"
"OPEN SPACE 2001","20011000217","Issue Committee","10/24/2001","Terminated","STATEWIDE"
"RODGERS, ED COMMITTEE TO RECALL","20011000225","Political Committee","11/08/2001","Terminated","STATEWIDE"
"MASLANIK FOR STATE HOUSE COMMITTEE","20011000226","Candidate Committee","11/16/2001","Terminated","STATEWIDE"
"JAMBURA, BILL COMMITTEE FOR","20011000227","Candidate Committee","11/16/2001","Terminated","STATEWIDE"
"COLORADO BANKERS ASSOCIATION STATE PAC","20015990124","Political Committee","12/04/2000","Active","STATEWIDE"
"COLORADO PODIATRY","20015990126","Political Committee","01/23/2001","Terminated","STATEWIDE"
"POLITICAL ACTION COMMITTEE","20015990130","Political Committee","03/12/2001","Terminated","STATEWIDE"
"COMMITTEE TO REVISE TABOR","20015990132","Political Committee","03/26/2001","Terminated","STATEWIDE"
"UPPER ARKANSAS CITIZENS FOR WATER INTEGRITY - MULTI COUNTY","20015990134","Issue Committee","04/11/2001","Terminated","STATEWIDE"
"SARA GAGLIARDI FOR HD27","20015990139","Candidate Committee","05/21/2001","Terminated","STATEWIDE"
"COLORADO ALLIANCE FOR A RAPID TRANSIT SOLUTION","20015990144","Issue Committee","06/26/2001","Terminated","STATEWIDE"
"CITIZENS FOR JOHN EVANS","20015990145","Candidate Committee","06/26/2001","Terminated","STATEWIDE"
"COMMITTEE TO ELECT LEWIS ENTZ","20015990147","Candidate Committee","06/27/2001","Terminated","STATEWIDE"
"CASTLE ROCK BUSINESS PARTNERSHIP (MULTI JURISDICTIONAL COMMITTEE)","20015990148","Political Committee","06/28/2001","Terminated","STATEWIDE"
"ISGAR, JIM COMMITTEE TO ELECT STATE SENATE DISTRICT 6","20015990150","Candidate Committee","06/29/2001","Terminated","STATEWIDE"
"SUB-DISTRICT 7A DEMOCRATS","20015990152","Political Party Committee","06/29/2001","Terminated","STATEWIDE"
"HEATH, ROLLIE FOR GOVERNOR, INC.","20015990153","Candidate Committee","07/09/2001","Terminated","STATEWIDE"
"FRIENDS OF KAY ALEXANDER COMMITTEE","20015990158","Candidate Committee","07/17/2001","Terminated","STATEWIDE"
"AMERICAN SUBCONTRACTORS ASSOCIATION OF COLORADO","20015990160","Political Committee","08/01/2001","Terminated","STATEWIDE"
"PATTERSON, WILLIAM ELECT 2002","20015990161","Political Party Committee","08/03/2001","Terminated","STATEWIDE"
"VICTORY IN COLORADO NOW","20015990164","Political Party Committee","08/21/2001","Terminated","STATEWIDE"
"COALITION FOR HEALTH CARE FUNDING","20015990165","Issue Committee","08/21/2001","Terminated","STATEWIDE"
"ENGLISH PLUS","20015990166","Issue Committee","08/21/2001","Terminated","STATEWIDE"
"COLORADO NEEDS REPUBLICANS","20015990168","Political Committee","08/22/2001","Terminated","STATEWIDE"
"BROOMFIELD REPUBLICANS","20015990173","Political Committee","08/22/2001","Terminated","STATEWIDE"
"DEMOCRATIC ACTION TEAM OF EASTERN SPRINGS","20015990175","Political Party Committee","08/23/2001","Terminated","STATEWIDE"
"FRIENDS OF RICO MUNN","20015990178","Candidate Committee","08/29/2001","Terminated","STATEWIDE"
"ABEL TAPIA FOR SENATE","20015990189","Candidate Committee","09/19/2001","Terminated","STATEWIDE"
"ADAMS COUNTY DEMOCRATIC LATINOS/PAC","20015990198","Political Committee","10/01/2001","Active","STATEWIDE"
"KELLER FOR STATE SENATE","20015990201","Candidate Committee","10/04/2001","Terminated","STATEWIDE"
"CONCERNED CITIZENS COMMITTEE","20015990206","Issue Committee","10/10/2001","Terminated","STATEWIDE"
"COMMITTEE TO ELECT RAY ROSE","20015990211","Candidate Committee","10/15/2001","Terminated","STATEWIDE"
"GROSSMAN, DAN COLORADO FOR","20015990212","Candidate Committee","10/17/2001","Terminated","STATEWIDE"
"BENAVIDEZ, ADRIENNE COMMUNITY 4","20015990216","Candidate Committee","10/24/2001","Terminated","STATEWIDE"
"HALL, DALE COMMITTEE TO ELECT","20015990218","Candidate Committee","10/25/2001","Terminated","STATEWIDE"
"CONCERNED TAXPAYERS AGAINST OPEN SPACE 2000","20015990221","Issue Committee","11/01/2001","Terminated","STATEWIDE"
"MAHRLE, BEN FOR STATE SENATE COMMITTEE","20015990222","Candidate Committee","11/01/2001","Terminated","STATEWIDE"
"FRIENDS OF JOEL JUDD","20015990228","Candidate Committee","11/29/2001","Terminated","STATEWIDE"
"CITIZENS TO ELECT VANCE","20021000005","Candidate Committee","03/06/2002","Terminated","STATEWIDE"
"IATSE #7 POLITICAL ACTION COMMITTEE","20021000229","Political Committee","12/03/2001","Terminated","STATEWIDE"
"KUNZ, LEE NEIGHBORS TO ELECT","20021000233","Candidate Committee","12/14/2001","Terminated","STATEWIDE"
"FRIENDS OF KOLEEN","20021000236","Political Committee","12/22/2001","Terminated","STATEWIDE"
"DOUGLAS/ELBERT CITIZENS FOR FAIR STATE SENATE","20021000251","Issue Committee","01/17/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT ED ULIBARRI","20021000256","Candidate Committee","01/28/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT ROBERT (BOB) GROVES AS FREMONT COUNTY SHERIFF","20021000260","Political Committee","02/02/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT CHARLOTTE HEINZ FOR ELBERT COUNTY CLERK & RECORDER","20021000262","Political Committee","02/06/2002","Terminated","STATEWIDE"
"TRUTH-IN-LEGISLATION","20021000267","Issue Committee","02/15/2002","Terminated","STATEWIDE"
"BROWN TIM, COMMITTEE TO ELECT","20021000274","Candidate Committee","02/22/2002","Terminated","STATEWIDE"
"CROFT, COMMITTE TO ELECT","20021000279","Candidate Committee","02/25/2002","Terminated","STATEWIDE"
"CONSERVATIVE CITIZEN NETWORK - PAC (CCN-PAC)","20023651215","Political Committee","11/25/2002","Terminated","STATEWIDE"
"CITIZENS TO ELECT LOLA SPRADLEY","20023651266","Candidate Committee","12/13/2002","Terminated","STATEWIDE"
"INDEPENDENT ELECTRICAL CONTRACTORS","20023651267","Political Committee","12/13/2002","Terminated","STATEWIDE"
"COLORADO PSYCHOLOGICAL ASSOCIATION","20023651277","Political Committee","12/19/2002","Active","STATEWIDE"
"COLORADANS AGAINST CORPORATE GREED","20025605131","Political Committee","03/07/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT ALAN ROSENFELD (HD 11)","20025605132","Candidate Committee","03/07/2002","Terminated","STATEWIDE"
"PRO-ANIMAL PAC OF COLORADO","20025605133","Political Committee","03/07/2002","Terminated","STATEWIDE"
"MCFADYEN 2002","20025605213","Candidate Committee","03/11/2002","Terminated","STATEWIDE"
"FRIENDS OF KAREN MIDDLETON","20025606112","Candidate Committee","03/14/2002","Terminated","STATEWIDE"
"FRIENDS OF WEST CUSTER COUNTY HOSPITAL DISTRICT","20025606391","Issue Committee","03/22/2002","Terminated","STATEWIDE"
"COMMITEE TO ELECT CHRIS MARTINEZ","20025606393","Candidate Committee","03/22/2002","Terminated","STATEWIDE"
"NAIOP COLORADO PAC","20025606447","Political Committee","03/27/2002","Active","STATEWIDE"
"CITIZENS FOR GREG BROPHY (C4GB, CGB)","20025606585","Candidate Committee","04/03/2002","Terminated","STATEWIDE"
"BIFF 2002","20025606589","Candidate Committee","04/04/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT JEFFREY J. VIGIL","20025606590","Candidate Committee","04/04/2002","Terminated","STATEWIDE"
"VIC FRANKS 2002","20025606591","Candidate Committee","04/04/2002","Terminated","STATEWIDE"
"STEVE JENSEN FOR SENATE COMMITTEE","20025606982","Candidate Committee","04/12/2002","Terminated","STATEWIDE"
"BIGHORN BALLOT, INC","20025608851","Issue Committee","04/15/2002","Terminated","STATEWIDE"
"WIN  WITH WYNN COMMITTEE","20025610261","Candidate Committee","05/02/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT MICHAEL MERRIFIELD","20025610360","Candidate Committee","05/07/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT TED HARVEY","20025610431","Candidate Committee","05/08/2002","Terminated","STATEWIDE"
"AURORA CITIZENS FOR EXCELLENT SCHOOLS (ACES)","20025610515","Issue Committee","05/10/2002","Terminated","STATEWIDE"
"RE-ELECT MCLEAN TO RTD","20025610765","Candidate Committee","05/15/2002","Terminated","STATEWIDE"
"CITIZENS FOR PROFESSIONAL PROSECUTION","20025611067","Issue Committee","05/29/2002","Terminated","STATEWIDE"
"COLORADANS FOR PUBLIC SCHOOLS","20025611068","Issue Committee","05/29/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT PAMELA JO SUCKLA","20025611069","Candidate Committee","05/29/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT RICK DAVIS","20025611070","Candidate Committee","05/29/2002","Terminated","STATEWIDE"
"FRIENDS OF ANTHONY MARTINEZ","20025611071","Candidate Committee","05/29/2002","Terminated","STATEWIDE"
"SECRETARY'S FUND OF THE DEMOCRATIC PARTY","20025611072","Political Party Committee","05/29/2002","Terminated","STATEWIDE"
"UNITE COLORADO","20025611073","Issue Committee","05/29/2002","Terminated","STATEWIDE"
"COLORADOANS SPEAK UP","20025613438","Issue Committee","06/04/2002","Terminated","STATEWIDE"
"COLORADO PUBLIC AFFAIRS COUNCIL (CPAC)","20025613442","Political Committee","07/26/2002","Terminated","STATEWIDE"
"HOUSE DISTRICT 64 DEMOCRATIC COMMITTEE","20025613447","Political Party Committee","07/26/2002","Terminated","STATEWIDE"
"MACHINISTS LL1886 UNION PAC","20025613452","Political Committee","07/26/2002","Terminated","STATEWIDE"
"MARK ENTREKIN FOR A RESPONSIBLE COLORADO","20025613454","Candidate Committee","07/26/2002","Terminated","STATEWIDE"
"SHERIDAN CITIZENS FOR HOME RULE","20025613457","Issue Committee","07/26/2002","Terminated","STATEWIDE"
"THE 2002 FUND","20025613458","Political Committee","07/26/2002","Terminated","STATEWIDE"
"CITIZENS FOR QUALITY SCHOOLS","20025613665","Issue Committee","08/07/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT DAVID M. BORSTEL (HD 32)","20025613666","Candidate Committee","08/07/2002","Terminated","STATEWIDE"
"PROTECT FREEDOM 2002","20025613667","Issue Committee","08/07/2002","Terminated","STATEWIDE"
"MORGAN SCHOOLS ACCOUNTABILITY PROJECT","20025614149","Political Committee","08/29/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT JOSEPH W. OLT, JR., DISTRICT ATTORNEY FOR THE 22ND JUDICIAL DISTRICT","20025614204","Candidate Committee","09/03/2002","Terminated","STATEWIDE"
"GRANT FOR STATE HOUSE 19","20025614205","Candidate Committee","09/03/2002","Terminated","STATEWIDE"
"DON STRICKLAND FOR REGENT","20025614323","Candidate Committee","09/05/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT BOB MCCLUSKEY","20025687914","Candidate Committee","03/15/2002","Terminated","STATEWIDE"
"KIRK BRUSH 2002","20025800012","Candidate Committee","03/05/2002","Terminated","STATEWIDE"
"TELLER COUNTY INDEPENDENT VOTER COALITION","20025800014","Political Committee","03/05/2002","Terminated","STATEWIDE"
"SHNELVAR FOR GOVERNOR","20025800015","Candidate Committee","03/05/2002","Terminated","STATEWIDE"
"COLORADO ORAL & MAXILLOFACIAL SURGERY PAC","20025800016","Political Committee","03/05/2002","Terminated","STATEWIDE"
"CLOSE FOR SENATE 16","20025800017","Candidate Committee","03/05/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT EMILY TRACY","20025800018","Candidate Committee","03/13/2002","Terminated","STATEWIDE"
"SHAVER LES, COMMITTEE TO ELECT","20025800020","Candidate Committee","03/13/2002","Terminated","STATEWIDE"
"TIM PLEASANT FOR STATE SENATE CAMPAIGN COMMITTEE","20025800021","Candidate Committee","03/13/2002","Terminated","STATEWIDE"
"DARNELL JACK FOR STATE REPRESENTATIVE DIST. 63","20025800022","Candidate Committee","03/13/2002","Terminated","STATEWIDE"
"JOHNSON RAMEY, COMMITTEE TO ELECT - HD 23","20025800023","Candidate Committee","03/13/2002","Terminated","STATEWIDE"
"COLORADO REAL ESTATE PAC (COREPAC)","20025800024","Candidate Committee","03/13/2002","Terminated","STATEWIDE"
"MARINO COLORADO SENATE 11","20025800025","Candidate Committee","03/13/2002","Terminated","STATEWIDE"
"ROUSE JIM, COMMITTEE TO ELECT","20025800026","Candidate Committee","03/13/2002","Terminated","STATEWIDE"
"WEB SILL FOR CO SENATE","20025800027","Candidate Committee","03/15/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT LEONA STOECKER FOR STATE REPRESENTATIVE","20025800028","Candidate Committee","03/15/2002","Terminated","STATEWIDE"
"ELECT GRESH FOR LIBERTY","20025800029","Candidate Committee","03/15/2002","Terminated","STATEWIDE"
"COMMITTEE FOR CONTINUED QUALITY FIRE PROTECTION","20025800033","Issue Committee","03/18/2002","Terminated","STATEWIDE"
"COLORADO LIBRARY POLITICAL ACTION COMMITTEE (CLPAC)","20025800034","Political Committee","03/18/2002","Active","STATEWIDE"
"SCHAUER FOR REGENT","20025800036","Candidate Committee","03/18/2002","Terminated","STATEWIDE"
"STEELE TERESA FOR HOUSE DISTRICT 12","20025800051","Candidate Committee","03/20/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT ALAN ROSENFELD","20025800053","Candidate Committee","03/22/2002","Terminated","STATEWIDE"
"JIM WEIGEL'S FRIENDS","20025800056","Candidate Committee","03/27/2002","Terminated","STATEWIDE"
"RATZLAFF JACE, COMMITTEE TO ELECT","20025800060","Candidate Committee","03/29/2002","Terminated","STATEWIDE"
"SHADDOCK FOR HOUSE DISTRICT 48, INC.","20025800061","Candidate Committee","03/29/2002","Terminated","STATEWIDE"
"FRIENDS TO ELECT JERRY ALLEN","20025800062","Candidate Committee","03/29/2002","Terminated","STATEWIDE"
"SUPPORTERS OF WECMRD","20025800064","Issue Committee","03/29/2002","Terminated","STATEWIDE"
"SANDOVAL PAULA, FOR SENATE","20025800067","Candidate Committee","04/01/2002","Terminated","STATEWIDE"
"SERNA GUILLERMO, COMMITTEE TO ELECT","20025800068","Candidate Committee","04/02/2002","Terminated","STATEWIDE"
"CHRISTINE BACA, COLORADO STATE BOARD OF EDUCATION CONGRESSIONAL DISTRICT 7","20025800069","Candidate Committee","04/02/2002","Terminated","STATEWIDE"
"PARTNERSHIP FOR PROGRESS PAC","20025800071","Political Committee","04/03/2002","Terminated","STATEWIDE"
"COLEMAN FOR COLORADO","20025800073","Candidate Committee","04/03/2002","Terminated","STATEWIDE"
"SALAZAR JOHN, COMMITTEE TO ELECT","20025800074","Candidate Committee","04/05/2002","Terminated","STATEWIDE"
"WESLEY MCKINLEY FOR STATE REPRESENTATIVE DIST. 64","20025800077","Candidate Committee","04/08/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT BILL KENNEDY","20025800078","Candidate Committee","04/08/2002","Terminated","STATEWIDE"
"HALLAND BURCE, COMMITTEE TO ELECT","20025800079","Candidate Committee","04/10/2002","Terminated","STATEWIDE"
"CARLISLE FOR REGENT","20025800080","Candidate Committee","04/10/2002","Terminated","STATEWIDE"
"KOVELESKI CAMPAIGN","20025800083","Candidate Committee","04/15/2002","Terminated","STATEWIDE"
"HICKSON DESIREE, COMMITTEE TO ELECT FOR LT GOVENOR","20025800084","Candidate Committee","04/15/2002","Terminated","STATEWIDE"
"EASTERN I-70 RECREATION COMMITTEE","20025800085","Issue Committee","04/23/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT CHARLES W. CARTER","20025800086","Candidate Committee","04/24/2002","Terminated","STATEWIDE"
"COLORADO FOR JOHN PHILLIPS","20025800087","Candidate Committee","04/24/2002","Terminated","STATEWIDE"
"MARK NAJARIAN CAMPAIGN COMMITTEE","20025800088","Candidate Committee","04/24/2002","Terminated","STATEWIDE"
"CITIZENS TO ELECT VINCENT J. BUZEK","20025800090","Candidate Committee","04/29/2002","Terminated","STATEWIDE"
"AITKEN FOR SECRETARY OF STATE","20025800091","Candidate Committee","04/29/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT BOB BRIGGS","20025800092","Candidate Committee","04/29/2002","Terminated","STATEWIDE"
"YES ON 30!  (COLORADO VOTERS 303-333-VOTE)","20025800093","Issue Committee","04/10/2002","Terminated","STATEWIDE"
"ENGLISH FOR THE CHILDREN OF COLORADO","20025800096","Issue Committee","05/02/2002","Terminated","STATEWIDE"
"CITIZENS TO ELECT RICK NEVIN","20025800097","Candidate Committee","05/07/2002","Terminated","STATEWIDE"
"SCOTT MCKAY FOR HD# 26","20025800098","Candidate Committee","04/17/2002","Terminated","STATEWIDE"
"MCCARTIN FOR HOUSE DISTRICT 30","20025800099","Candidate Committee","05/09/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT PAUL KRUESI","20025800102","Candidate Committee","05/09/2002","Terminated","STATEWIDE"
"NANCY DICK FOR STATE SENATE, DISTRICT 2","20025800103","Candidate Committee","05/09/2002","Terminated","STATEWIDE"
"CITIZENS FOR CHRIS WILSON","20025800104","Candidate Committee","05/09/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT MANISCALCO","20025800105","Candidate Committee","05/09/2002","Terminated","STATEWIDE"
"ALEXANDER D. JACOBSON FOR ASSEMBLY","20025800106","Candidate Committee","05/09/2002","Terminated","STATEWIDE"
"7TH CONGRESSIONAL DISTRICT REPUBLICAN CENTRAL COMMITTEE","20025800108","Political Party Committee","05/10/2002","Terminated","STATEWIDE"
"BERTHOUD ASSOC. OF PROFESSIONAL FIREFIGHTERS","20025800109","Candidate Committee","05/10/2002","Terminated","STATEWIDE"
"FRIENDS OF TOM BRICKNER","20025800110","Candidate Committee","05/14/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT BEE ADAMS","20025800111","Candidate Committee","05/14/2002","Terminated","STATEWIDE"
"THE COMMITTEE TO ELECT JOHN MCGLASSON","20025800113","Candidate Committee","05/15/2002","Terminated","STATEWIDE"
"COMMITTEE FOR THE ELECTION OF ABBA KRIEGER","20025800114","Candidate Committee","05/15/2002","Terminated","STATEWIDE"
"FRIENDS OF TOM DITTEMORE FOR HD #28","20025800115","Candidate Committee","05/15/2002","Terminated","STATEWIDE"
"CITIZEN SOLDIER FUND","20025800116","Political Committee","05/16/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT FLUX NEO","20025800117","Candidate Committee","05/17/2002","Terminated","STATEWIDE"
"EGERTON FOR 12TH HOUSE DISTRICT","20025800118","Candidate Committee","05/21/2002","Terminated","STATEWIDE"
"FRANKO FOR RTD","20025800119","Candidate Committee","05/21/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT GLENN RHOADES","20025800120","Candidate Committee","05/21/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT R. MIKE FARIS","20025800121","Candidate Committee","05/22/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT LEE KALEY","20025800122","Candidate Committee","05/28/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT DAYTON CONWAY","20025800123","Candidate Committee","05/28/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT ANGIE PACCIONE","20025800124","Candidate Committee","05/28/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT TAYLOR STEPHENS","20025800125","Candidate Committee","05/29/2002","Terminated","STATEWIDE"
"MARK MELLOTT COMMITTEE TO ELECT","20025800126","Candidate Committee","05/29/2002","Terminated","STATEWIDE"
"LAWRENCE FOR SENATE","20025800128","Candidate Committee","05/30/2002","Terminated","STATEWIDE"
"PEOPLE TO ELECT AL SPROCK","20025800129","Candidate Committee","06/03/2002","Terminated","STATEWIDE"
"BILL THIEBAUT FOR LIEUTENANT GOVERNOR","20025800130","Candidate Committee","06/06/2002","Terminated","STATEWIDE"
"JIM MARTIN FOR 2ND CONGRESSIONAL","20025800131","Candidate Committee","06/06/2002","Terminated","STATEWIDE"
"CITIZENS FOR BRANDI MORELAND","20025800132","Candidate Committee","06/10/2002","Terminated","STATEWIDE"
"HEATHER LEMON VICTORY FUND","20025800133","Candidate Committee","06/14/2002","Terminated","STATEWIDE"
"FRIENDS OF DAVE HUSTVEDT","20025800134","Candidate Committee","06/18/2002","Terminated","STATEWIDE"
"JAMES W. CASIAS","20025800135","Candidate Committee","06/20/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT KAREN KATALINE","20025800136","Candidate Committee","06/21/2002","Terminated","STATEWIDE"
"PROFESSIONAL BAIL AGENTS OF COLORADO, INC.","20025800137","Political Committee","06/21/2002","Terminated","STATEWIDE"
"COMMITTEE FOR HEALTH CARE PARTNERSHIPS","20025800138","Issue Committee","06/21/2002","Terminated","STATEWIDE"
"CITIZENS FOR WHEELER","20025800139","Candidate Committee","06/21/2002","Terminated","STATEWIDE"
"SNOWDEN FOR HOUSE DISTRICT 21","20025800141","Candidate Committee","06/21/2002","Terminated","STATEWIDE"
"CLARK FOR HOUSE 65","20025800142","Candidate Committee","06/24/2002","Terminated","STATEWIDE"
"21ST CENTURY DEMOCRATS","20025800143","Political Committee","06/26/2002","Terminated","STATEWIDE"
"CITIZENS FOR SAMPRON","20025800144","Candidate Committee","06/28/2002","Terminated","STATEWIDE"
"FORTHOFER FOR GOVERNOR","20025800145","Candidate Committee","07/01/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT DAVE DUNNELL","20025800146","Candidate Committee","07/01/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT MEL HILGENBERG","20025800147","Candidate Committee","07/01/2002","Terminated","STATEWIDE"
"PEOPLE FOR PARKER","20025800148","Candidate Committee","07/02/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT MARK W. HANNA","20025800149","Candidate Committee","07/03/2002","Terminated","STATEWIDE"
"SAVE THE CAUCUS","20025800150","Issue Committee","07/05/2002","Terminated","STATEWIDE"
"COLORADOANS FOR FAIR ELECTIONS","20025800151","Issue Committee","07/08/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT LARRY CHISESI","20025800152","Candidate Committee","07/08/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT BETTY PEARCE","20025800154","Candidate Committee","06/26/2002","Terminated","STATEWIDE"
"CO-TECH PAC","20025800155","Political Committee","07/08/2002","Terminated","STATEWIDE"
"CITIZENS TO ELECT PERRY J. VASQUEZ","20025800156","Candidate Committee","07/09/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT PAT HAYES","20025800157","Candidate Committee","07/17/2002","Terminated","STATEWIDE"
"PATRIOTS FOR ZANE NEWITT","20025800158","Candidate Committee","07/24/2002","Terminated","STATEWIDE"
"COMMITTEE FOR QUALITY EDUCATION-CO STATE PAC","20025800159","Political Committee","07/24/2002","Terminated","STATEWIDE"
"KENNETH A. BARELA FOR REPRESENTATIVE","20025800160","Candidate Committee","07/24/2002","Terminated","STATEWIDE"
"COMMITTEE TO SUPPORT OUR STUDENTS (SOS)","20025800161","Issue Committee","07/24/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT MICHAEL PLYLAR","20025800162","Candidate Committee","07/24/2002","Terminated","STATEWIDE"
"COLORADOANS FOR JOE FRANCO","20025800163","Candidate Committee","07/24/2002","Terminated","STATEWIDE"
"HOUSE DISTRICT 57 DEMOCRATIC COMMITTEE","20025800164","Political Party Committee","07/25/2002","Terminated","STATEWIDE"
"CONGRESSIONAL DISTRICT 5 DEMOCRATIC COMMITTEE","20025800167","Political Party Committee","07/26/2002","Terminated","STATEWIDE"
"SENATE DISTRICT 7 DEMOCRATIC COMMITTEE","20025800169","Political Party Committee","07/12/2002","Terminated","STATEWIDE"
"SENATE DISTRICT 1 DEMOCRATIC COMMITTEE","20025800170","Political Party Committee","07/12/2002","Terminated","STATEWIDE"
"MARK D. BENNER FOR STATE SENATE","20025800171","Candidate Committee","08/01/2002","Terminated","STATEWIDE"
"JOHNSON FOR HD-15 COMMITTEE","20025800173","Candidate Committee","08/05/2002","Terminated","STATEWIDE"
"JERRI HILL FOR SENATE","20025800174","Candidate Committee","08/08/2002","Terminated","STATEWIDE"
"COMMITTEE TO ELECT JOY BOWMAN","20025800175","Candidate Committee","08/12/2002","Terminated","STATEWIDE"
"CITIZENS' COMMITTEE TO PROTECT OUR  FUTURE","20025800176","Issue Committee","08/13/2002","Terminated","STATEWIDE"
"PATRIOTS FOR ZANE NEWITT","20025800177","Candidate Committee","08/13/2002","Terminated","STATEWIDE"
"COMMITTEE TO REELCT WALLY PULLIAM","20025800178","Candidate Committee","08/13/2002","Terminated","STATEWIDE"
"POUDRE EDUCATION ASSOCIATION FOR CHILDREN AND PUBLIC EDUCATION","20025800179","Small Donor Committee","08/13/2002","Active","STATEWIDE"
"PARTICIPATION 2000","20025800180","Political Committee","08/13/2002","Terminated","STATEWIDE"
"SENATE DISTRICT 4 DEMOCRATIC CENTRAL COMMITTEE","20025800181","Political Party Committee","08/09/2002","Terminated","STATEWIDE"
"SENATE DISTRICT 8 DEMOCRATIC CENTRAL COMMITTEE","20025800182","Political Party Committee","08/09/2002","Terminated","STATEWIDE"
"NATIONAL REPUBLICAN LEGISLATORS ASSOCIATION (NRLA)","20025800183","Political Committee","08/14/2002","Terminated","STATEWIDE"
"CONGRESSIONAL DISTRICT 6 DEMOCRATIC CENTRAL COMMITTEE","20025800184","Political Party Committee","08/14/2002","Terminated","STATEWIDE"
"CONGRESSIONAL DISTRICT 7 DEMOCRATIC CENTRAL COMMITTEE","20025800185","Political Party Committee","08/20/2002","Terminated","STATEWIDE"
"FIRST AMENDMENT COMMITTEE","20025800186","Issue Committee","08/20/2002","Terminated","STATEWIDE"
"QUALITY HEALTH FOR THE FUTURE","20025800187","Political Committee","08/21/2002","Terminated","STATEWIDE"
"COLORADO CIVIL JUSTICE LEAGUE PAC","20025800193","Political Committee","08/27/2002","Active","STATEWIDE"
"COMMITTEE TO RE-ELECT MILLARD","20025800194","Candidate Committee","08/30/2002","Terminated","STATEWIDE"
"FRIENDS OF JANE NORTON","20025800195","Candidate Committee","09/03/2002","Terminated","STATEWIDE"
"COLORADO REPUBLICANS FOR CHOICE","20025800196","Political Committee","09/06/2002","Terminated","STATEWIDE"
"NO ON 28","20025800197","Issue Committee","09/06/2002","Terminated","STATEWIDE"
"CITIZENS FOR KEL BRADY","20025800198","Candidate Committee","09/07/2002","Terminated","STATEWIDE"
"FRIENDS OF EMERSON","20025800199","Candidate Committee","09/07/2002","Terminated","STATEWIDE"
"DEMOCRATIC LEGISLATIVE CAMPAIGN COMMITTEE","20025800200","Political Committee","09/07/2002","Terminated","STATEWIDE"
"PUEBLO COUNTY TEACHERS' ASSOCIATION POLITICAL ACTION COMMITTEE","20025800201","Political Committee","09/09/2002","Terminated","STATEWIDE"
"COLORADO SURETY COALITION","20025800202","Political Committee","09/11/2002","Terminated","STATEWIDE"
